Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Bentleigh East,71 Bignell Rd,4,h,1200000,S,hockingstuart,07-05-2016,13.9,3165,4,2,2,619,191,1960,Glen Eira,-37.9358,145.0688,Southern Metropolitan,10969
Bentleigh East,96 Brady Rd,3,h,1050000,S,Buxton,07-05-2016,13.9,3165,3,2,2,627,140,1950,Glen Eira,-37.9284,145.0668,Southern Metropolitan,10969
Bentleigh East,25 Connie St,5,h,950000,VB,Woodards,07-05-2016,13.9,3165,5,2,4,618,146,1950,Glen Eira,-37.9209,145.0757,Southern Metropolitan,10969
Bentleigh East,9/7 Derry St,2,u,380000,PI,Buxton,07-05-2016,13.9,3165,3,2,1,0,78,1970,Glen Eira,-37.9212,145.0674,Southern Metropolitan,10969
Bentleigh East,3/32 Elizabeth St,2,h,689000,S,hockingstuart,07-05-2016,13.9,3165,2,1,1,169,87,0,Glen Eira,-37.9232,145.0537,Southern Metropolitan,10969
Bentleigh East,33 Molden St,3,h,1400000,PI,hockingstuart,07-05-2016,13.9,3165,3,2,2,653,93.05,0,Glen Eira,-37.9069,145.0568,Southern Metropolitan,10969
Bentleigh East,20 Normdale Rd,3,h,965000,S,hockingstuart,07-05-2016,13.9,3165,3,1,4,574,93.05,0,Glen Eira,-37.9309,145.0685,Southern Metropolitan,10969
Bentleigh East,38 Northam Rd,3,h,1338000,S,Buxton,07-05-2016,13.9,3165,3,2,2,610,177,1970,Glen Eira,-37.9231,145.066,Southern Metropolitan,10969
Bentleigh East,48a Purtell St,3,t,800000,S,Buxton,07-05-2016,13.9,3165,3,2,1,353,93.05,0,Glen Eira,-37.9262,145.055,Southern Metropolitan,10969
Bentleigh East,1/6 Richard St,2,u,651000,S,Gary,07-05-2016,13.9,3165,2,1,1,265,150,1960,Glen Eira,-37.9223,145.0747,Southern Metropolitan,10969
Bentleigh East,12 Rudyard St,3,h,920000,PI,Buxton,07-05-2016,13.9,3165,3,1,3,583,93.05,1955,Glen Eira,-37.9272,145.0804,Southern Metropolitan,10969
Bentleigh East,3 Veronica St,3,h,1390000,S,Buxton,07-05-2016,13.9,3165,4,2,2,590,118,1960,Glen Eira,-37.9256,145.0757,Southern Metropolitan,10969
Bentleigh East,2/12 Blenheim St,2,u,495000,SP,Woodards,08-10-2016,13.9,3165,2,1,1,96,93.05,0,Glen Eira,-37.9102,145.0709,Southern Metropolitan,10969
Bentleigh East,4/19 Gray St,1,u,370000,PI,Buxton,08-10-2016,13.9,3165,1,1,1,0,93.05,1970,Glen Eira,-37.9205,145.0528,Southern Metropolitan,10969
Bentleigh East,4 Tambet St,3,h,1100000,SP,Buxton,08-10-2016,13.9,3165,3,1,2,578,163,1955,Glen Eira,-37.9186,145.0709,Southern Metropolitan,10969
Bentleigh East,109 Victor Rd,4,h,1100000,S,Woodards,08-10-2016,13.9,3165,4,2,4,653,93.05,0,Glen Eira,-37.9244,145.0792,Southern Metropolitan,10969
Bentleigh East,7 Wallace St,3,h,1355000,S,Buxton,08-10-2016,13.9,3165,0,1,2,818,93.05,0,Glen Eira,-37.9241,145.0539,Southern Metropolitan,10969
Bentleigh East,21 Wards Gr,4,h,1206000,S,Hodges,08-10-2016,13.9,3165,4,1,1,636,138,1940,Glen Eira,-37.925,145.0612,Southern Metropolitan,10969
Bentleigh East,2/3 Wonga Ct,2,t,486500,S,hockingstuart,08-10-2016,13.9,3165,2,1,1,0,75,1960,Glen Eira,-37.9082,145.0681,Southern Metropolitan,10969
Bentleigh East,26 Boronia St,2,h,1010000,S,hockingstuart,10-09-2016,13.9,3165,3,1,1,597,93.05,0,Glen Eira,-37.9126,145.0776,Southern Metropolitan,10969
Bentleigh East,16 Leigh St,3,h,899000,S,Buxton,10-09-2016,13.9,3165,3,1,1,583,93.05,0,Glen Eira,-37.9312,145.0795,Southern Metropolitan,10969
Bentleigh East,87 Parkmore Rd,4,h,1415000,S,Buxton,10-09-2016,13.9,3165,4,2,2,604,177,1970,Glen Eira,-37.9153,145.0707,Southern Metropolitan,10969
Bentleigh East,1A Brian St,4,t,1185000,S,hockingstuart,10-12-2016,13.9,3165,4,2,2,305,207,2012,Glen Eira,-37.9245,145.0507,Southern Metropolitan,10969
Bentleigh East,13 Brooks St,4,t,1060000,S,Woodards,10-12-2016,13.9,3165,4,3,1,313,166,1960,Glen Eira,-37.9164,145.0765,Southern Metropolitan,10969
Bentleigh East,4/738 Centre Rd,2,u,716000,S,Buxton,10-12-2016,13.9,3165,2,1,2,212,93.05,0,Glen Eira,-37.9218,145.0607,Southern Metropolitan,10969
Bentleigh East,18 May St,3,h,1550000,S,Paul,10-12-2016,13.9,3165,3,1,1,581,93.05,0,Glen Eira,-37.9177,145.0535,Southern Metropolitan,10969
Bentleigh East,1098 North Rd,3,h,840000,S,Buxton,10-12-2016,13.9,3165,3,2,2,697,93.05,0,Glen Eira,-37.9092,145.0813,Southern Metropolitan,10969
Bentleigh East,106 Parkmore Rd,3,h,1110000,S,Woodards,10-12-2016,13.9,3165,3,1,4,612,93.05,0,Glen Eira,-37.9159,145.0733,Southern Metropolitan,10969
Bentleigh East,8 Tambet St,3,h,1106000,S,McGrath,10-12-2016,13.9,3165,3,1,2,584,93.05,0,Glen Eira,-37.9183,145.071,Southern Metropolitan,10969
Bentleigh East,41 Bradford St,3,h,845000,S,Ray,12-11-2016,13.9,3165,3,2,2,295,145,1998,Glen Eira,-37.9239,145.0781,Southern Metropolitan,10969
Bentleigh East,2/41 Elizabeth St,3,t,860000,VB,Buxton,12-11-2016,13.9,3165,3,2,1,254,117,1995,Glen Eira,-37.9227,145.0558,Southern Metropolitan,10969
Bentleigh East,40 Kennedy St,3,h,1208000,S,Woodards,12-11-2016,13.9,3165,3,1,1,747,93.05,0,Glen Eira,-37.9198,145.0791,Southern Metropolitan,10969
Bentleigh East,5b MacKie Rd,3,t,921000,S,Buxton,12-11-2016,13.9,3165,3,2,2,167,140,2009,Glen Eira,-37.9219,145.0733,Southern Metropolitan,10969
Bentleigh East,13 Norville St,3,h,1165000,S,Buxton,12-11-2016,13.9,3165,3,1,1,732,93.05,0,Glen Eira,-37.9334,145.0667,Southern Metropolitan,10969
Bentleigh East,37 Orange St,3,h,1270000,S,Buxton,12-11-2016,13.9,3165,3,1,2,694,93.05,0,Glen Eira,-37.9174,145.0779,Southern Metropolitan,10969
Bentleigh East,1/112 Tambet St,2,h,742500,S,Woodards,12-11-2016,13.9,3165,2,1,1,300,135,1960,Glen Eira,-37.9099,145.0726,Southern Metropolitan,10969
Bentleigh East,25 Thornton St,3,h,920000,PI,Buxton,12-11-2016,13.9,3165,3,2,2,578,120,1950,Glen Eira,-37.9303,145.0805,Southern Metropolitan,10969
Bentleigh East,53 Purtell St,3,h,1307000,S,Woodards,13-08-2016,13.9,3165,3,2,4,684,93.05,0,Glen Eira,-37.926,145.0551,Southern Metropolitan,10969
Bentleigh East,33 Schulz St,4,h,1010000,S,Ray,13-08-2016,13.9,3165,4,1,2,658,112,0,Glen Eira,-37.9343,145.0607,Southern Metropolitan,10969
Bentleigh East,12 Tambet St,2,h,702000,PI,Buxton,13-08-2016,13.9,3165,2,1,1,591,102,1960,Glen Eira,-37.9179,145.071,Southern Metropolitan,10969
Bentleigh East,1/93 Tambet St,2,h,813000,S,Buxton,13-08-2016,13.9,3165,2,1,1,306,93.05,0,Glen Eira,-37.9111,145.072,Southern Metropolitan,10969
Bentleigh East,2/15 Liverpool St,3,t,805000,S,hockingstuart,14-05-2016,13.9,3165,3,2,1,268,117,2000,Glen Eira,-37.9196,145.0691,Southern Metropolitan,10969
Bentleigh East,47 MacKie Rd,3,h,880000,PI,hockingstuart,14-05-2016,13.9,3165,2,1,3,660,93.05,0,Glen Eira,-37.9173,145.0742,Southern Metropolitan,10969
Bentleigh East,23 Yarraburn Cl,4,h,1100000,S,Hodges,14-05-2016,13.9,3165,4,2,1,274,190,2004,Glen Eira,-37.9257,145.0735,Southern Metropolitan,10969
Bentleigh East,14 Vasey St,3,h,1085000,S,Woodards,15-10-2016,13.9,3165,3,2,4,710,93.05,0,Glen Eira,-37.9348,145.0634,Southern Metropolitan,10969
Bentleigh East,32a Argyle St,3,t,920000,S,Buxton,16-04-2016,13.9,3165,3,2,1,343,93.05,0,Glen Eira,-37.9112,145.0738,Southern Metropolitan,10969
Bentleigh East,12 Barrani St,3,h,1050000,S,Woodards,16-04-2016,13.9,3165,3,1,4,726,131,1950,Glen Eira,-37.9117,145.0695,Southern Metropolitan,10969
Bentleigh East,45 Browns Rd,3,h,1560000,S,Woodards,16-04-2016,13.9,3165,3,1,2,841,93.05,0,Glen Eira,-37.9217,145.056,Southern Metropolitan,10969
Bentleigh East,25 Glover St,4,h,800000,PI,Hodges,16-04-2016,13.9,3165,4,2,2,601,93.05,0,Glen Eira,-37.9278,145.081,Southern Metropolitan,10969
Bentleigh East,21 Highview Rd,2,h,722000,S,Buxton,16-04-2016,13.9,3165,2,2,1,201,79,2005,Glen Eira,-37.9293,145.0657,Southern Metropolitan,10969
Bentleigh East,18 Normanby Rd,3,h,930000,SP,Buxton,16-04-2016,13.9,3165,3,1,2,588,133,1960,Glen Eira,-37.9286,145.069,Southern Metropolitan,10969
Bentleigh East,93 Tudor St,3,h,921000,S,Buxton,16-04-2016,13.9,3165,3,2,1,291,119,2000,Glen Eira,-37.919,145.0829,Southern Metropolitan,10969
Bentleigh East,23 York St,4,h,1035000,PI,First,16-04-2016,13.9,3165,3,1,2,610,160,1950,Glen Eira,-37.9193,145.0691,Southern Metropolitan,10969
Bentleigh East,2/34 Adrian St,3,u,720000,PI,Gary,16-07-2016,13.9,3165,3,2,1,228,93.05,1996,Glen Eira,-37.9329,145.0617,Southern Metropolitan,10969
Bentleigh East,20 Elizabeth St,3,h,1185000,S,hockingstuart,16-07-2016,13.9,3165,3,1,2,618,93.05,0,Glen Eira,-37.9228,145.0527,Southern Metropolitan,10969
Bentleigh East,7 England St,4,h,1352000,S,hockingstuart,16-07-2016,13.9,3165,4,2,2,618,196,1950,Glen Eira,-37.9252,145.0562,Southern Metropolitan,10969
Bentleigh East,11b Lilac St,4,t,1005000,SP,Woodards,16-07-2016,13.9,3165,4,2,2,296,205,2006,Glen Eira,-37.9197,145.057,Southern Metropolitan,10969
Bentleigh East,53 Molden St,2,u,761000,S,Ray,16-07-2016,13.9,3165,2,1,2,282,93.05,0,Glen Eira,-37.9073,145.0599,Southern Metropolitan,10969
Bentleigh East,790 North Rd,5,h,1600000,S,Buxton,16-07-2016,13.9,3165,4,2,2,659,315,1930,Glen Eira,-37.906,145.0547,Southern Metropolitan,10969
Bentleigh East,26 Almurta Rd,3,h,1200000,S,hockingstuart,17-09-2016,13.9,3165,3,1,1,721,120,1970,Glen Eira,-37.9244,145.0665,Southern Metropolitan,10969
Bentleigh East,1/57 Brooks St,3,h,780000,PI,Buxton,17-09-2016,13.9,3165,3,2,2,421,126,1950,Glen Eira,-37.9168,145.0809,Southern Metropolitan,10969
Bentleigh East,48a Celia St,4,t,1250000,PI,Buxton,17-09-2016,13.9,3165,4,2,2,314,231,2010,Glen Eira,-37.9299,145.0598,Southern Metropolitan,10969
Bentleigh East,30 Chauvel St,3,h,750000,PI,Buxton,17-09-2016,13.9,3165,3,2,1,337,93.05,0,Glen Eira,-37.9115,145.0844,Southern Metropolitan,10969
Bentleigh East,36 Kennedy St,3,h,1300000,S,Woodards,17-09-2016,13.9,3165,3,1,4,746,93.05,0,Glen Eira,-37.9198,145.0787,Southern Metropolitan,10969
Bentleigh East,5 Kennedy St,5,h,1475000,S,Woodards,17-09-2016,13.9,3165,5,2,2,729,93.05,0,Glen Eira,-37.9191,145.075,Southern Metropolitan,10969
Bentleigh East,8 Leo St,4,h,1110000,S,Buxton,17-09-2016,13.9,3165,4,2,2,583,176,1960,Glen Eira,-37.9262,145.0624,Southern Metropolitan,10969
Bentleigh East,42 Marlborough St,2,u,835000,S,Woodards,17-09-2016,13.9,3165,2,2,1,362,93.05,0,Glen Eira,-37.9149,145.0676,Southern Metropolitan,10969
Bentleigh East,11 Moylan St,4,h,1690000,S,Gary,17-09-2016,13.9,3165,4,2,2,700,165,1950,Glen Eira,-37.9117,145.0534,Southern Metropolitan,10969
Bentleigh East,42 Paloma St,3,u,791000,S,Woodards,17-09-2016,13.9,3165,3,3,1,391,122,1950,Glen Eira,-37.9149,145.0788,Southern Metropolitan,10969
Bentleigh East,601 South Rd,3,h,900000,VB,Beller,17-09-2016,13.9,3165,3,1,3,780,140,1940,Glen Eira,-37.9347,145.0507,Southern Metropolitan,10969
Bentleigh East,1/51 Valkstone St,3,h,1189000,S,hockingstuart,17-09-2016,13.9,3165,4,2,2,337,93.05,2010,Glen Eira,-37.9144,145.0582,Southern Metropolitan,10969
Bentleigh East,75 Victor Rd,3,t,825000,S,hockingstuart,17-09-2016,13.9,3165,3,1,1,642,93.05,0,Glen Eira,-37.9269,145.0787,Southern Metropolitan,10969
Bentleigh East,2/11 Francesco St,3,t,1030000,S,Buxton,18-03-2017,13.9,3165,3,2,2,327,93.05,0,Glen Eira,-37.9195,145.0555,Southern Metropolitan,10969
Bentleigh East,2/40 Francesco St,3,t,970000,S,Matthew,18-03-2017,13.9,3165,3,2,2,267,156,2000,Glen Eira,-37.9176,145.0566,Southern Metropolitan,10969
Bentleigh East,16 Greenview Ct,3,h,930000,S,hockingstuart,18-03-2017,13.9,3165,3,1,2,580,93.05,0,Glen Eira,-37.9369,145.0751,Southern Metropolitan,10969
Bentleigh East,5 Malane St,4,h,1510000,SP,C21,18-03-2017,13.9,3165,4,2,2,640,93.05,0,Glen Eira,-37.9198,145.0545,Southern Metropolitan,10969
Bentleigh East,2/1 Mervin St,3,t,1240000,S,Buxton,18-03-2017,13.9,3165,3,2,2,518,93.05,0,Glen Eira,-37.9316,145.0542,Southern Metropolitan,10969
Bentleigh East,1002 North Rd,3,h,823000,S,C21,18-03-2017,13.9,3165,3,2,2,213,143,2003,Glen Eira,-37.9079,145.0707,Southern Metropolitan,10969
Bentleigh East,27 Parkmore Rd,4,h,1310000,S,Woodards,18-03-2017,13.9,3165,4,2,2,606,93.05,0,Glen Eira,-37.9147,145.0645,Southern Metropolitan,10969
Bentleigh East,71 Victor Rd,4,h,1475000,S,hockingstuart,18-03-2017,13.9,3165,4,2,2,674,93.05,0,Glen Eira,-37.9272,145.0786,Southern Metropolitan,10969
Bentleigh East,40 Waratah St,4,t,950000,PI,Buxton,18-03-2017,13.9,3165,4,2,1,450,93.05,1940,Glen Eira,-37.9133,145.0837,Southern Metropolitan,10969
Bentleigh East,1/38 Kennedy St,4,t,1045000,S,Buxton,18-06-2016,13.9,3165,4,2,1,316,190,2010,Glen Eira,-37.9198,145.0789,Southern Metropolitan,10969
Bentleigh East,3/14 Malane St,3,h,750000,PI,Hodges,18-06-2016,13.9,3165,3,2,1,188,93.05,0,Glen Eira,-37.9193,145.0553,Southern Metropolitan,10969
Bentleigh East,2/111 Marlborough St,3,u,800000,PI,Buxton,18-06-2016,13.9,3165,3,2,2,252,93.05,1994,Glen Eira,-37.9085,145.0683,Southern Metropolitan,10969
Bentleigh East,2/119 Marlborough St,2,u,655000,S,hockingstuart,18-06-2016,13.9,3165,2,1,1,154,80,2000,Glen Eira,-37.9079,145.0685,Southern Metropolitan,10969
Bentleigh East,3 Molden St,5,h,1550000,S,Hodges,18-06-2016,13.9,3165,5,3,2,623,257,1950,Glen Eira,-37.9066,145.0541,Southern Metropolitan,10969
Bentleigh East,2/53 Moylan St,3,h,835000,S,Woodards,18-06-2016,13.9,3165,3,1,1,250,105,1980,Glen Eira,-37.9087,145.0537,Southern Metropolitan,10969
Bentleigh East,75 Orange St,3,h,1140000,S,hockingstuart,18-06-2016,13.9,3165,4,1,3,701,93.05,0,Glen Eira,-37.9178,145.0815,Southern Metropolitan,10969
Bentleigh East,18 Paloma St,2,h,1120000,S,hockingstuart,18-06-2016,13.9,3165,3,1,2,678,93.05,0,Glen Eira,-37.9146,145.0767,Southern Metropolitan,10969
Bentleigh East,31b Purtell St,4,t,1465000,S,Buxton,18-06-2016,13.9,3165,3,2,2,319,256,2015,Glen Eira,-37.9256,145.0533,Southern Metropolitan,10969
Bentleigh East,24 Veronica St,3,h,910000,S,Buxton,18-06-2016,13.9,3165,3,1,1,587,96,1950,Glen Eira,-37.9241,145.0763,Southern Metropolitan,10969
Bentleigh East,2/14 Wamba Rd,3,u,920000,SP,Buxton,18-06-2016,13.9,3165,3,2,1,388,123,2007,Glen Eira,-37.9329,145.053,Southern Metropolitan,10969
Bentleigh East,14 Charles St,3,t,935000,S,hockingstuart,19-11-2016,13.9,3165,3,2,2,230,160,2012,Glen Eira,-37.9179,145.0592,Southern Metropolitan,10969
Bentleigh East,14 Florence St,3,h,977000,S,Buxton,19-11-2016,13.9,3165,3,1,2,543,163,1970,Glen Eira,-37.9242,145.0705,Southern Metropolitan,10969
Bentleigh East,1 Jassa St,3,h,1352000,S,Woodards,19-11-2016,13.9,3165,3,1,2,686,122,1950,Glen Eira,-37.9113,145.0765,Southern Metropolitan,10969
Bentleigh East,12 Millard St,4,h,1115000,SP,Buxton,19-11-2016,13.9,3165,4,2,2,575,160,1960,Glen Eira,-37.9274,145.0654,Southern Metropolitan,10969
Bentleigh East,4 Adrian St,3,h,780000,VB,hockingstuart,22-05-2016,13.9,3165,3,1,1,710,93.05,1966,Glen Eira,-37.9324,145.0577,Southern Metropolitan,10969
Bentleigh East,40 Chesterville Dr,3,h,1115000,SP,hockingstuart,22-05-2016,13.9,3165,3,2,2,1080,93.05,0,Glen Eira,-37.9233,145.0674,Southern Metropolitan,10969
Bentleigh East,54 Elizabeth St,3,h,1197000,S,Buxton,22-05-2016,13.9,3165,3,1,2,692,147,1949,Glen Eira,-37.9232,145.0563,Southern Metropolitan,10969
Bentleigh East,2/10 Matthews Rd,2,u,485000,SP,Buxton,22-05-2016,13.9,3165,2,2,2,0,83,2011,Glen Eira,-37.9292,145.0708,Southern Metropolitan,10969
Bentleigh East,1/26 Patricia St,3,u,810000,S,Woodards,22-05-2016,13.9,3165,3,2,1,316,93.05,1950,Glen Eira,-37.9245,145.0773,Southern Metropolitan,10969
Bentleigh East,39 Shrewsbury St,4,h,1365000,PI,Marshall,22-05-2016,13.9,3165,4,1,1,582,151,1960,Glen Eira,-37.9129,145.0598,Southern Metropolitan,10969
Bentleigh East,579 Warrigal Rd,3,h,700000,S,Thomson,22-05-2016,13.9,3165,0,0,0,456,93.05,0,Glen Eira,-37.9314,145.0808,Southern Metropolitan,10969
Bentleigh East,10 Boronia St,4,h,1698888,S,hockingstuart,22-08-2016,13.9,3165,4,2,2,598,337,2006,Glen Eira,-37.9138,145.0774,Southern Metropolitan,10969
Bentleigh East,20 McGuinness Rd,4,h,1150000,S,Buxton,22-08-2016,13.9,3165,4,2,2,639,93.05,0,Glen Eira,-37.9258,145.075,Southern Metropolitan,10969
Bentleigh East,6/1126 North Rd,2,u,340000,VB,Gary,22-08-2016,13.9,3165,2,1,1,0,93.05,2012,Glen Eira,-37.9096,145.0843,Southern Metropolitan,10969
Bentleigh East,76 Bignell Rd,3,h,1000000,S,Woodards,24-09-2016,13.9,3165,3,1,2,576,93.05,0,Glen Eira,-37.9362,145.0691,Southern Metropolitan,10969
Bentleigh East,5a Cavalier St,3,t,965000,S,Buxton,24-09-2016,13.9,3165,3,2,1,283,28,2010,Glen Eira,-37.9142,145.08,Southern Metropolitan,10969
Bentleigh East,2/5 Connie St,3,u,870000,S,Woodards,24-09-2016,13.9,3165,3,2,2,365,150,2011,Glen Eira,-37.9225,145.0754,Southern Metropolitan,10969
Bentleigh East,23 Gardeners Rd,3,h,1405000,S,Woodards,24-09-2016,13.9,3165,3,1,1,764,93.05,0,Glen Eira,-37.9143,145.0629,Southern Metropolitan,10969
Bentleigh East,123 MacKie Rd,3,h,1161000,S,hockingstuart,24-09-2016,13.9,3165,3,2,3,629,168,1950,Glen Eira,-37.912,145.0752,Southern Metropolitan,10969
Bentleigh East,11 Melball St,3,h,1266000,S,hockingstuart,24-09-2016,13.9,3165,3,1,3,676,146,1970,Glen Eira,-37.9307,145.0531,Southern Metropolitan,10969
Bentleigh East,2/8 Rudyard St,3,t,700000,PI,hockingstuart,24-09-2016,13.9,3165,3,2,2,194,200,2008,Glen Eira,-37.9272,145.0801,Southern Metropolitan,10969
Bentleigh East,2A Barrani St,4,t,1325000,S,Buxton,25-02-2017,13.9,3165,4,4,2,363,265,2012,Glen Eira,-37.9116,145.0686,Southern Metropolitan,10969
Bentleigh East,2/16 Bessie St,3,u,770000,PI,hockingstuart,25-02-2017,13.9,3165,3,2,1,281,132,2005,Glen Eira,-37.9257,145.0811,Southern Metropolitan,10969
Bentleigh East,177 Bignell Rd,3,h,1110000,S,hockingstuart,25-02-2017,13.9,3165,3,1,6,542,538,0,Glen Eira,-37.9272,145.0705,Southern Metropolitan,10969
Bentleigh East,1/6 Brad St,1,u,380000,S,hockingstuart,25-02-2017,13.9,3165,1,1,1,0,99,1970,Glen Eira,-37.9315,145.0619,Southern Metropolitan,10969
Bentleigh East,98 Brady Rd,4,h,1175000,S,RT,25-02-2017,13.9,3165,4,2,2,620,158,1980,Glen Eira,-37.9281,145.0669,Southern Metropolitan,10969
Bentleigh East,3 Forrest St,3,h,1200000,S,Woodards,25-02-2017,13.9,3165,3,1,1,640,120,1960,Glen Eira,-37.916,145.0776,Southern Metropolitan,10969
Bentleigh East,88 MacKie Rd,4,h,1370000,SP,Gary,25-02-2017,13.9,3165,4,1,2,684,196,1970,Glen Eira,-37.9147,145.0751,Southern Metropolitan,10969
Bentleigh East,4 Mawby Rd,4,h,1433500,S,Hodges,25-02-2017,13.9,3165,4,1,1,725,186,1950,Glen Eira,-37.9289,145.0502,Southern Metropolitan,10969
Bentleigh East,370 McKinnon Rd,2,h,1630000,S,C21,25-02-2017,13.9,3165,2,1,2,724,93.05,0,Glen Eira,-37.9135,145.0557,Southern Metropolitan,10969
Bentleigh East,43 Wards Gr,3,h,1360000,SP,Woodards,25-02-2017,13.9,3165,3,1,3,676,93.05,0,Glen Eira,-37.9233,145.0616,Southern Metropolitan,10969
Bentleigh East,45 Chesterville Dr,4,h,900000,VB,Gary,26-07-2016,13.9,3165,3,1,2,741,93.05,0,Glen Eira,-37.9229,145.0673,Southern Metropolitan,10969
Bentleigh East,61 Molden St,3,t,860000,PI,hockingstuart,26-07-2016,13.9,3165,3,2,1,210,131,2005,Glen Eira,-37.9075,145.061,Southern Metropolitan,10969
Bentleigh East,30 Browns Rd,2,u,772500,S,Anderson,27-06-2016,13.9,3165,2,1,2,318,93.05,0,Glen Eira,-37.9218,145.0563,Southern Metropolitan,10969
Bentleigh East,15 Cormick St,3,h,1001000,S,Gary,27-06-2016,13.9,3165,3,1,1,598,93.05,0,Glen Eira,-37.9216,145.073,Southern Metropolitan,10969
Bentleigh East,3/2 Garden Rd,2,u,715000,S,hockingstuart,27-06-2016,13.9,3165,2,1,1,194,114,1995,Glen Eira,-37.9107,145.0598,Southern Metropolitan,10969
Bentleigh East,6 Gray St,3,h,801000,S,Buxton,27-06-2016,13.9,3165,3,1,1,0,93.05,0,Glen Eira,-37.9218,145.053,Southern Metropolitan,10969
Bentleigh East,2/5 Pell St,3,t,882000,S,Ray,27-06-2016,13.9,3165,3,2,2,208,93.05,0,Glen Eira,-37.9108,145.0794,Southern Metropolitan,10969
Bentleigh East,41 Wards Gr,2,h,1180000,S,Buxton,27-06-2016,13.9,3165,2,1,1,687,93.05,0,Glen Eira,-37.9234,145.0616,Southern Metropolitan,10969
Bentleigh East,30A Almurta Rd,3,t,840000,S,Buxton,27-11-2016,13.9,3165,3,2,2,222,93.05,0,Glen Eira,-37.9241,145.0668,Southern Metropolitan,10969
Bentleigh East,1/811 Centre Rd,2,h,710000,S,Buxton,27-11-2016,13.9,3165,2,1,1,0,115,1950,Glen Eira,-37.9212,145.0606,Southern Metropolitan,10969
Bentleigh East,335 Chesterville Rd,4,h,1040000,VB,Buxton,27-11-2016,13.9,3165,4,2,2,643,93.05,0,Glen Eira,-37.9295,145.063,Southern Metropolitan,10969
Bentleigh East,71 Deakin St,5,h,1550000,PI,hockingstuart,27-11-2016,13.9,3165,5,3,2,583,296,2007,Glen Eira,-37.9143,145.0699,Southern Metropolitan,10969
Bentleigh East,2/42 Gowrie St,3,h,930000,S,Buxton,27-11-2016,13.9,3165,3,2,2,258,93.05,0,Glen Eira,-37.9162,145.0799,Southern Metropolitan,10969
Bentleigh East,2/12 Hodgson Gr,3,u,790000,S,hockingstuart,27-11-2016,13.9,3165,3,1,2,406,100,1996,Glen Eira,-37.9286,145.0737,Southern Metropolitan,10969
Bentleigh East,5 Konrad St,3,h,1040000,S,Hodges,27-11-2016,13.9,3165,3,1,2,625,93.05,0,Glen Eira,-37.927,145.0645,Southern Metropolitan,10969
Bentleigh East,18 Patricia St,3,h,1020000,S,Nick,27-11-2016,13.9,3165,3,1,2,596,144,1960,Glen Eira,-37.9251,145.0771,Southern Metropolitan,10969
Bentleigh East,2 Sanicki Ct,3,t,670000,PI,Bayside,27-11-2016,13.9,3165,3,1,2,233,93.05,0,Glen Eira,-37.9376,145.0784,Southern Metropolitan,10969
Bentleigh East,2/25 Brooks St,3,u,800000,S,Woodards,28-05-2016,13.9,3165,3,2,2,261,93.05,0,Glen Eira,-37.9163,145.0779,Southern Metropolitan,10969
Bentleigh East,2/34 Browns Rd,4,t,1120000,PI,Buxton,28-05-2016,13.9,3165,3,2,2,209,93.05,0,Glen Eira,-37.9213,145.0565,Southern Metropolitan,10969
Bentleigh East,16a Daphne St,3,t,970000,VB,hockingstuart,28-05-2016,13.9,3165,3,2,2,321,93.05,0,Glen Eira,-37.9181,145.0586,Southern Metropolitan,10969
Bentleigh East,1/4 Daphne St,3,t,787500,S,Hodges,28-05-2016,13.9,3165,3,2,1,300,93.05,0,Glen Eira,-37.9189,145.0584,Southern Metropolitan,10969
Bentleigh East,24 Kurrajong St,3,h,950000,PI,Greg,28-05-2016,13.9,3165,3,1,1,598,93.05,0,Glen Eira,-37.9129,145.0786,Southern Metropolitan,10969
Bentleigh East,3b Manuka St,3,h,886000,S,Ray,28-05-2016,13.9,3165,3,2,1,185,122,2012,Glen Eira,-37.9159,145.0787,Southern Metropolitan,10969
Bentleigh East,36a Barrington St,3,t,780000,PI,Buxton,28-08-2016,13.9,3165,3,2,1,209,93.05,0,Glen Eira,-37.9131,145.07,Southern Metropolitan,10969
Bentleigh East,3 Belinda Ct,4,h,1015000,S,C21,28-08-2016,13.9,3165,4,2,3,625,198,1997,Glen Eira,-37.9374,145.0726,Southern Metropolitan,10969
Bentleigh East,1/3 Brady Rd,3,u,830000,S,Woodards,28-08-2016,13.9,3165,3,2,2,395,93.05,2001,Glen Eira,-37.9364,145.0649,Southern Metropolitan,10969
Bentleigh East,9 Colin St,3,h,1241000,S,Hodges,28-08-2016,13.9,3165,3,1,1,643,93.05,0,Glen Eira,-37.9237,145.0527,Southern Metropolitan,10969
Bentleigh East,27 Connie St,4,h,1255000,S,Buxton,28-08-2016,13.9,3165,4,2,2,610,167,1950,Glen Eira,-37.9207,145.0757,Southern Metropolitan,10969
Bentleigh East,8 Marlborough St,3,h,1320000,S,Buxton,28-08-2016,13.9,3165,3,1,1,593,94,1950,Glen Eira,-37.9178,145.067,Southern Metropolitan,10969
Bentleigh East,1/39 Neville St,3,h,870000,S,Gary,28-08-2016,13.9,3165,3,2,1,326,133,1950,Glen Eira,-37.9236,145.0545,Southern Metropolitan,10969
